     1.503    -0.599    -0.657     0.148     0.228
    -0.149     1.116    -0.281     0.279     0.419
    -1.278     0.148    -0.147     0.151     0.271
    -1.624     2.515    -0.208     0.371     0.481
    -1.412    -0.284     0.423     0.133     0.293
    -1.327    -0.086     0.059     0.157     0.287
    -1.221    -0.753     1.867     0.129     0.309
     2.484    -1.221    -0.705     0.149     0.209
     3.409    -1.580    -0.669     0.147     0.197
     3.190    -1.617    -0.499     0.165     0.275
    -1.941     2.595     0.569     0.305     0.465
    -2.097     2.764    -0.317     0.322     0.462
    -1.560     1.592     1.527     0.287     0.397
    -2.083     2.434    -0.693     0.302     0.452
    -1.920     2.354    -0.778     0.322     0.442
    -2.061     2.346    -0.729     0.303     0.443
    -0.593    -0.694     1.867     0.119     0.409
    -0.487    -1.024     0.168     0.104     0.384
    -0.396    -0.965    -0.438     0.103     0.293
    -0.593    -0.709    -0.547     0.123     0.313
     0.769    -1.295    -0.681     0.080     0.280
     0.550    -1.141    -0.705     0.073     0.243
     0.098    -0.972    -0.729     0.076     0.236
    -0.036    -0.958    -0.754     0.077     0.247
    -0.367    -1.163    -0.535     0.062     0.282
    -1.426    -0.833    -0.729     0.072     0.322
    -0.918    -1.016    -0.620     0.067     0.307
    -1.087    -0.518    -0.620     0.102     0.292
    -0.650    -0.416    -0.705     0.118     0.278
    -0.650    -0.379    -0.729     0.117     0.277
     2.505    -1.602     3.299     0.087     0.378
     2.548    -1.771     0.702     0.036     0.296
     2.484    -1.742     2.207     0.067     0.307
     2.922    -1.808    -0.681     0.017     0.157
     2.886    -1.837    -0.802     0.013     0.093
     2.498    -1.712    -0.086     0.052     0.132
     1.051    -1.529     2.486     0.097     0.167
     1.778    -1.654     0.824     0.073     0.173
     2.823    -1.837     1.042     0.106     0.166
     2.675    -1.859     2.801     0.145     0.185
     1.644    -1.720     0.642     0.072     0.182
     1.891    -1.639    -0.183     0.078     0.178
     2.032    -1.558    -0.305     0.078     0.188
     2.096    -1.529    -0.657     0.044     0.184
     2.371    -1.419    -0.705     0.068     0.198
     2.646    -1.602    -0.778     0.043     0.203
     2.724    -1.874     3.639     0.078     0.168
     1.665    -1.654     3.068     0.086     0.156
     1.454    -1.764     0.581     0.058     0.148
     1.616    -1.756    -0.293     0.047     0.107
     2.315    -1.815    -0.487     0.049     0.109
     2.096    -1.895    -0.717     0.019     0.098
     1.997    -1.837    -0.790     0.019     0.109
     2.392    -1.551    -0.317     0.050     0.090
     2.788    -1.558     0.605     0.051     0.111
     2.703    -1.624    -0.511     0.042     0.072
     3.013    -1.742    -0.475     0.035     0.065
     3.910    -1.793    -0.766     0.026     0.036
     3.352    -1.654     0.532     0.052     0.112
     3.543    -1.661    -0.560     0.035     0.085
     3.613    -1.712    -0.560     0.034     0.074
     3.748    -1.749    -0.681     0.030     0.050
     1.757    -1.178     1.964     0.078     0.108
     1.729    -1.251    -0.244     0.058     0.168
     1.828    -1.236     0.108     0.072     0.152
     1.665    -1.170    -0.669     0.055     0.145
     0.854    -1.317     1.333     0.100     0.270
     0.720    -1.053     1.527     0.101     0.251
     2.315    -1.610     0.059     0.050     0.200
     0.607    -0.848     2.025     0.123     0.283
     1.087    -1.471    -0.244     0.051     0.241
     1.799    -1.646    -0.560     0.039     0.259
    -0.064    -0.621     2.571     0.119     0.369
     0.070    -0.555     0.047     0.096     0.336
     0.458    -0.782    -0.365     0.088     0.288
     0.233    -0.972     2.498     0.097     0.257
     1.651    -1.185     0.278     0.083     0.323
    -0.494    -0.723    -0.717     0.110     0.300
