 0183 12-32-10   0.120   0.140   0.083   0.000   0.000   0.000   0.000   0.000   0.231
 0184 12-32-07   0.120   0.140   0.058   0.000   0.000   0.000   0.000   0.000   0.282
 0185 12-32-06   0.120   0.140   0.050   0.000   0.000   0.000   0.000   0.000   0.306
 0186 12-32-05   0.120   0.140   0.042   0.000   0.000   0.000   0.000   0.000   0.295
 0187 12-32-04   0.120   0.140   0.033   0.000   0.000   0.000   0.000   0.000   0.255
 0188 12-32-03   0.120   0.140   0.025   0.000   0.000   0.000   0.000   0.000   0.409
 0189 12-31-20   0.120   0.135   0.166   0.000   0.000   0.000   0.000   0.000   0.276
 0190 12-31-19   0.120   0.135   0.158   0.000   0.000   0.000   0.000   0.000   0.230
 0191 12-31-18   0.120   0.135   0.149   0.000   0.000   0.000   0.000   0.000   0.261
 0192 12-31-17   0.120   0.135   0.141   0.000   0.000   0.000   0.000   0.000   0.277
 0193 12-31-15   0.120   0.135   0.125   0.000   0.000   0.000   0.000   0.000   0.306
 0194 12-31-05   0.120   0.135   0.042   0.000   0.000   0.000   0.000   0.000   0.322
 0195 12-30-20   0.120   0.131   0.166   0.000   0.000   0.000   0.000   0.000   0.269
 0196 12-30-20   0.120   0.131   0.166   0.000   0.000   0.000   0.000   0.000   0.243
 0197 12-30-20   0.120   0.131   0.166   0.000   0.000   0.000   0.000   0.000   0.350
 0198 12-30-19   0.120   0.131   0.158   0.000   0.000   0.000   0.000   0.000   0.258
 0199 12-30-19   0.120   0.131   0.158   0.000   0.000   0.000   0.000   0.000   0.237
 0200 12-30-15   0.120   0.131   0.125   0.000   0.000   0.000   0.000   0.000   0.224
 0201 12-30-11   0.120   0.131   0.091   0.000   0.000   0.000   0.000   0.000   0.328
 0202 12-30-08   0.120   0.131   0.066   0.000   0.000   0.000   0.000   0.000   0.247
 0203 12-30-08   0.120   0.131   0.066   0.000   0.000   0.000   0.000   0.000   0.283
 0204 12-30-07   0.120   0.131   0.058   0.000   0.000   0.000   0.000   0.000   0.239
 0205 12-30-00   0.120   0.131   0.000   0.000   0.000   0.000   0.000   0.000   0.214
 0206 12-30-00   0.120   0.131   0.000   0.000   0.000   0.000   0.000   0.000   0.205
 0207 12-30-00   0.120   0.131   0.000   0.000   0.000   0.000   0.000   0.000   0.240
 0208 12-29-08   0.120   0.127   0.066   0.000   0.000   0.000   0.000   0.000   0.278
 0209 12-29-07   0.120   0.127   0.058   0.000   0.000   0.000   0.000   0.000   0.276
 0210 12-29-00   0.120   0.127   0.000   0.000   0.000   0.000   0.000   0.000   0.295
 0211 12-28-18   0.120   0.122   0.149   0.000   0.000   0.000   0.000   0.000   0.256
 0212 12-28-09   0.120   0.122   0.075   0.000   0.000   0.000   0.000   0.000   0.285
 0213 12-28-05   0.120   0.122   0.042   0.000   0.000   0.000   0.000   0.000   0.277
